hora,km_to_CO,start station id,cantidad_de_viajes,distancia_recorrida_sum,duracion_del_viaje,date_local,contaminante_co
08,1.3245,364,6,16.7083,4076,2019-03-14,0.26
11,1.3245,364,1,0.7017,203,2019-03-14,0.24100000000000002
17,1.3245,364,1,1.508,514,2019-03-14,0.29100000000000004
19,1.3245,364,3,1.9473,1362,2019-03-14,0.245
20,1.3245,364,2,7.9132,1700,2019-03-14,0.261
08,1.3245,364,5,22.2476,4943,2019-03-15,0.201
11,1.3245,364,1,2.1002,375,2019-03-15,0.18600000000000003
12,1.3245,364,1,0.7017,185,2019-03-15,0.195
18,1.3245,364,1,2.6683,731,2019-03-15,0.215
19,1.3245,364,2,3.7063,886,2019-03-15,0.249
21,1.3245,364,1,2.2322,431,2019-03-15,0.19399999999999998
08,1.3245,364,2,5.9015,1507,2019-03-16,0.19
12,1.3245,364,2,9.4307,2972,2019-03-16,0.18
15,1.3245,364,1,2.0825,521,2019-03-16,0.175
18,1.3245,364,2,4.025,886,2019-03-16,0.193
15,1.3245,364,1,2.0519,477,2019-03-17,0.184
19,1.3245,364,1,1.236,504,2019-03-17,0.21899999999999997
08,1.3245,364,3,9.7269,3127,2019-03-18,0.207
09,1.3245,364,4,8.9994,2219,2019-03-18,0.205
11,1.3245,364,1,0.7017,188,2019-03-18,0.182
19,1.3245,364,2,1.5933,1305,2019-03-18,0.252
08,1.3245,364,4,11.6308,2567,2019-03-19,0.221
09,1.3245,364,1,1.9618,307,2019-03-19,0.18899999999999997
10,1.3245,364,1,0.7017,173,2019-03-19,0.184
18,1.3245,364,2,1.3084,2204,2019-03-19,0.20800000000000002
19,1.3245,364,2,4.0073,1660,2019-03-19,0.218
08,1.3245,364,8,22.097900000000003,5655,2019-03-20,0.312
09,1.3245,364,1,5.2223,1173,2019-03-20,0.245
10,1.3245,364,2,2.7842000000000002,1115,2019-03-20,0.24100000000000002
11,1.3245,364,1,1.9618,372,2019-03-20,0.207
18,1.3245,364,1,5.8033,1289,2019-03-20,0.293
09,1.3245,364,5,12.9391,3407,2019-03-21,0.217
14,1.3245,364,1,2.5669,725,2019-03-21,0.24100000000000002
17,1.3245,364,2,1.9377,654,2019-03-21,0.23
08,1.3245,364,1,3.9461,1171,2019-03-22,0.192
15,1.3245,364,1,0.7403,165,2019-03-22,0.26
16,1.3245,364,2,8.89,11429,2019-03-22,0.251
17,1.3245,364,1,0.7017,186,2019-03-22,0.23199999999999998
20,1.3245,364,1,3.7482,1753,2019-03-22,0.226
16,1.3245,364,3,0.0,7162,2019-03-23,0.19399999999999998
12,1.3245,364,1,1.4581,577,2019-03-24,0.191
13,1.3245,364,1,4.5271,1210,2019-03-24,0.196
14,1.3245,364,1,2.6683,764,2019-03-24,0.198
15,1.3245,364,4,8.3734,3556,2019-03-24,0.215
16,1.3245,364,2,4.9166,1282,2019-03-24,0.182
17,1.3245,364,2,7.2646,5664,2019-03-24,0.196
20,1.3245,364,2,5.3833,1336,2019-03-24,0.244
08,1.3245,364,3,5.9739,1301,2019-03-25,0.16399999999999998
09,1.3245,364,1,6.2459,2613,2019-03-25,0.166
10,1.3245,364,2,5.3382,1404,2019-03-25,0.174
16,1.3245,364,2,3.4166999999999996,1372,2019-03-25,0.209
17,1.3245,364,1,1.3084,407,2019-03-25,0.23
08,1.3245,364,1,1.6061,379,2019-03-26,0.183
09,1.3245,364,5,10.813199999999998,2566,2019-03-26,0.17800000000000002
12,1.3245,364,1,2.1839,1292,2019-03-26,0.165
18,1.3245,364,1,1.236,275,2019-03-26,0.182
06,1.3245,364,1,1.6061,429,2019-03-27,0.293
08,1.3245,364,2,7.4883,2444,2019-03-27,0.21100000000000002
13,1.3245,364,2,4.3307,1294,2019-03-27,0.19899999999999998
17,1.3245,364,1,4.4434,1131,2019-03-27,0.20800000000000002
18,1.3245,364,2,6.2024,4958,2019-03-27,0.23800000000000002
19,1.3245,364,1,5.8033,1262,2019-03-27,0.233
08,1.3245,364,1,3.6275,781,2019-03-28,0.205
09,1.3245,364,4,8.4845,2248,2019-03-28,0.215
16,1.3245,364,1,3.9992,1050,2019-03-28,0.228
09,1.3245,364,1,2.1002,656,2019-03-29,0.249
10,1.3245,364,1,1.9618,313,2019-03-29,0.256
15,1.3245,364,1,1.4935,365,2019-03-29,0.32
17,1.3245,364,1,4.4434,1097,2019-03-29,0.358
02,1.3245,364,1,8.0435,2346,2019-03-30,0.327
12,1.3245,364,3,8.4104,2267,2019-03-30,0.268
13,1.3245,364,1,1.9618,601,2019-03-30,0.27899999999999997
14,1.3245,364,2,9.3841,9078,2019-03-30,0.257
16,1.3245,364,2,4.787800000000001,1110,2019-03-30,0.174
17,1.3245,364,4,10.4028,7772,2019-03-30,0.228
19,1.3245,364,4,6.3006,3688,2019-03-30,0.20199999999999999
23,1.3245,364,1,0.7403,184,2019-03-30,0.13699999999999998
13,1.3245,364,1,1.6061,776,2019-03-31,0.201
14,1.3245,364,2,6.5726,1799,2019-03-31,0.244
08,1.3245,364,4,9.002699999999999,2075,2019-04-01,0.182
